ec	Curvatura_phi	Momento_M
0.0001	3.333333333333334e-06	134742705.37458375
0.00026688963210702343	8.896321070234116e-06	351258996.3845724
0.0004337792642140468	1.4459308807134896e-05	557325909.3843563
0.0006006688963210703	2.0022296544035678e-05	752943444.3739356
0.0007675585284280937	2.5654778720631274e-05	939995238.1029902
0.0009344481605351172	3.458376472898937e-05	1199427214.9880612
0.0011013377926421405	4.3681669621542694e-05	1447231016.901754
0.001268227424749164	5.278821355362768e-05	1684408532.848046
0.0014351170568561874	6.180618067538714e-05	1910557015.0824063
0.0016020066889632107	7.225257402115324e-05	2034057255.6056924
0.0017688963210702343	8.284141784102379e-05	2138069394.797547
0.0019357859531772576	9.344959277261006e-05	2229577497.5967793
0.0021026755852842807	0.00010521642423506803	2275039036.486332
0.002269565217391304	0.00011690752315402734	2315577976.8667665
0.002436454849498328	0.00012852911851084862	2352861074.50125
0.002603344481605351	0.00014009011195359277	2387893557.7732205
0.0027702341137123745	0.00015145696981850595	2419735041.091533
0.002937123745819398	0.00016162463638310487	2437670095.4323306
